"CASE","QUESTNNR","MODE","STARTED","BE02","BE03","BE04","BE07","BE08","BE09","GE02_01","GE02_02","GE02_03","GE02_04","GE02_05","GE03_01","GE03_02","GE03_03","GE04_01","GE04_02","GE04_03","GE04_04","GE04_05","ME02_01","ME02_02","ME02_03","ME02_04","ME02_05","ME02_06","ME02_07","ME02_08","ME02_09","ME02_10","ME02_11","ME02_12","ME02_13","ME02_14","ME02_15","ME02_16","ME02_17","ME02_18","ME02_19","ME02_20","ME02_21","ME02_22","ME02_23","ME02_24","ME02_25","ME02_26","ME02_27","ME02_28","ME02_29","ME02_30","ME02_31","ME02_32","ME02_33","ME02_34","ME02_35","ME02_36","ME02_37","ME02_38","ME02_39","ME02_40","ME02_41","ME02_42","ME02_43","ME02_44","ME02_45","ME02_46","ME04_01","ME04_02","ME04_03","ME04_04","ME04_05","ME04_06","ME04_07","ME04_08","ME04_09","ME04_10","ME04_11","ME04_12","ME04_13","ME04_14","ME04_15","ME04_16","ME04_17","ME04_18","ME04_19","ME04_20","ME04_21","ME04_22","ME04_23","ME04_24","ME04_25","ME04_26","ME04_27","ME04_28","ME04_29","ME04_30","ME04_31","ME04_32","ME04_33","ME04_34","ME04_35","ME04_36","ME04_37","ME04_38","ME04_39","ME04_40","ME04_41","ME04_42","ME04_43","ME04_44","ME04_45","ME04_46","RN03","RN04","RN05_01","RN07","RN08","RN09_01","SD04","SD05_01","SD06_01","SO02","SO02_01","SO02_02","SO02_03","SO02_04","SO02_05","SO02_06","SO02_07","SO02_08","SO02_09","SO02_10","SO02_11","SO02_12","SO02_13","SO02_14","SO02_15","SO02_16","SO02_17","SO02_18","SO02_19","SO02_20","SO02_20a","SO03","SO03_01","SO03_02","SO03_03","SO03_04","SO03_05","SO03_06","SO03_07","SO03_08","SO03_09","SO03_10","SO03_11","SO03_12","SO03_13","SO03_14","SO03_15","SO03_15a","SO04","SO04_01","SO04_02","SO04_03","SO04_04","SO04_05","SO04_06","SO04_07","SO04_08","SO04_09","SO04_10","SO04_11","SO04_12","SO05","SO05_01","SO05_02","SO05_03","SO05_04","SO05_05","SO05_06","SO05_07","SO05_08","SO06","SO06_01","SO06_02","SO06_03","SO06_04","SO06_05","SO06_06","SO06_07","SO06_08","SO06_09","SO06_09a","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME009","TIME010","TIME011","TIME012","TIME013","TIME014","TIME015","TIME016","TIME017","TIME018","TIME019","TIME020","TIME021","TIME022","TIME023","TIME024","TIME025","TIME026","TIME027","TIME028","TIME_SUM","LASTDATA","STATUS","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"1143","iso16757_umfrage_kurz","interview","2026-08-04 10:57:38","3","6","3","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3","2","21","2","25","20","2","","","","","","","","","","","","","","","","","","","","","80","2026-08-04 10:58:58","","F","F","8","8","13","2","2"
"1150","iso16757_umfrage_kurz","interview","2026-08-06 09:43:06","11","5","3","3","3","","6","4","6","4","3","3","3","3","6","6","6","5","6","147","234","147","-9","225","168","152","-9","157","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","260","-9","-9","-9","-9","-9","272","393","271","277","191","291","271","278","270","-9","-9","-9","327","327","-9","283","323","-9","-9","322","-9","5","6","6","3","5","6","6","2","4","4","4","4","4","4","3","2","1","3","5","4","4","4","3","3","3","5","4","5","5","3","6","4","6","5","1","2","1","-9","6","3","6","3","4","4","3","2","1","1","","","","","1","","","2","F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","6","T","T","T","T","T","F","F","F","T","F","F","F","2","T","F","F","F","F","F","T","F","3","T","F","F","T","F","T","F","F","F","","8470","2","19","17","10","31","28","22","257","10","184","4","49","9","35","9","16","22","27","13","2","","","","","","","","782","2026-08-06 12:17:02","complete","T","F","21","21","23","20","0.94"
"1184","iso16757_umfrage_kurz","interview","2026-08-06 16:25:59","6","8","4","4","3","","5","5","5","3","2","5","4","4","6","5","5","5","6","175","175","177","180","181","191","188","300","301","186","192","191","175","314","181","296","185","181","185","249","183","174","318","245","181","183","323","318","317","184","189","249","320","332","562","563","315","238","324","313","317","192","171","237","248","191","6","6","6","6","5","6","6","6","6","6","6","6","6","6","6","6","6","4","5","4","5","6","6","6","6","6","4","5","4","5","6","6","4","6","4","4","4","4","4","5","4","6","6","6","6","6","4","5","","","","","1","","","2","F","F","F","F","F","F","F","F","F","T","F","F","T","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","5","T","F","F","F","T","F","F","T","T","T","F","F","2","T","F","T","F","F","F","F","F","3","T","F","F","F","T","T","F","F","F","","42","17","44","22","5","62","17","15","460","6","174","2","52","17","28","3","28","29","59","16","5","","","","","","","","1051","2026-08-06 16:44:22","complete","T","F","21","21","3","0","0.83"
"1190","iso16757_umfrage_kurz","interview","2026-08-07 12:20:53","3","3","2","4","3","","-9","-9","5","-9","-9","5","-9","-9","-9","-9","-9","5","5","-9","-9","-9","180","200","-9","-9","187","-9","-9","-9","-9","-9","-9","285","189","165","164","-9","-9","-9","-9","928","917","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","952","204","-9","175","-9","-9","-9","-9","5","-9","-9","-9","5","-9","-9","-9","-9","-9","6","6","5","6","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","5","-9","-9","-9","-9","-9","6","1","1","","","","","1","","","2","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","3","T","F","F","F","T","F","F","F","T","F","F","F","3","T","F","T","T","F","F","F","F","3","T","F","F","T","F","T","F","F","F","","7","4","6","11","3","32","14","2","175","6","102","2","15","11","22","3","34","18","32","13","4","","","","","","","","516","2026-08-07 12:29:31","","T","F","21","21","70","68","1.49"
"1196","iso16757_umfrage_kurz","interview","2026-08-17 10:06:48","5","6","2","3","3","","","","","","","","","","","","","","","274","195","216","223","227","229","206","197","253","224","350","239","215","225","140","217","146","233","336","359","233","501","317","315","243","234","510","322","314","307","196","359","361","339","237","231","234","348","279","241","305","227","332","298","167","264","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","5","","","","","","4","4","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","2","6","51","10","32","11","30","288","7","60","","","","","","","","","","","","","","","","","","509","2026-08-17 10:15:17","","F","F","11","11","2","0","0.99"
"1197","iso16757_umfrage_kurz","interview","2026-08-19 12:36:44","11","8","5","-9","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603","1","4","2","2","230","5","","","","","","","","","","","","","","","","","","","","","","61","2026-08-19 12:50:51","","F","F","7","7","63","57","1.93"
"1219","iso16757_umfrage_kurz","interview","2026-08-25 10:41:13","10","8","5","2","1","2","6","4","6","3","2","5","3","3","6","6","6","6","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","-1","","","","","1","","","2","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","5","T","T","F","T","T","F","F","F","T","F","F","F","3","T","F","F","T","F","F","T","F","4","T","F","F","T","T","T","F","F","F","","25","4","8","42","7","55","28","20","","","","17","57","48","38","13","19","844","80","26","7","","","","","","","","517","2026-08-25 11:03:31","complete","T","F","21","21","10","1","0.57"
"1224","iso16757_umfrage_kurz","interview","2026-08-25 11:15:46","10","8","-1","2","1","2","6","1","5","3","1","2","6","1","6","6","6","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","","","","","1","","","3","T","F","F","T","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","8","T","T","T","T","T","F","F","T","T","T","F","F","1","F","F","F","F","F","F","T","F","3","T","F","F","F","T","T","F","F","F","","29","3","23","203","11","46","18","34","","","","14","43","26","42","8","15","23","36","14","2","","","","","","","","410","2026-08-25 11:25:36","complete","T","F","21","21","10","1","0.73"
"1228","iso16757_umfrage_kurz","interview","2026-08-25 11:29:28","-9","-9","-9","-9","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9","-9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","2","2","5","2","17","19","","","","","","","","","","","","","","","","","","","","","","60","2026-08-25 11:30:28","","F","F","7","7","88","85","2.03"
"1231","iso16757_umfrage_kurz","interview","2026-08-26 08:02:25","10","8","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","7","21","17","18","27","","","","","","","","","","","","","","","","","","","","","","","94","2026-08-26 08:04:03","","F","F","6","6","17","3","0.91"
"1236","iso16757_umfrage_kurz","interview","2026-08-26 08:44:52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","3","20","41","2","","","","","","","","","","","","","","","","","","","","","","","","76","2026-08-26 08:46:08","","F","F","5","5","33","9","1.27"
"1242","iso16757_umfrage_kurz","interview","2026-08-26 09:34:46","3","5","5","3","3","","1","4","5","4","2","6","3","5","5","3","3","5","4","156","150","165","220","264","207","228","309","270","187","215","288","218","238","328","191","336","205","216","203","251","353","208","348","206","159","282","142","304","354","359","340","299","299","553","617","337","322","137","592","230","368","348","329","348","270","5","6","6","6","4","6","6","6","5","5","5","4","5","3","5","5","3","5","5","5","5","5","6","4","5","5","5","6","4","5","5","5","6","5","3","3","4","5","5","4","6","6","6","4","5","4","5","7","","","","","1","","","1","F","F","F","F","F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","7","T","F","T","T","T","F","F","T","T","T","F","F","4","T","F","F","T","T","T","F","F","5","T","T","T","T","F","T","F","F","F","","18","2","14","70","7","24","22","131","250","2","367","3","26","46","124","2","23","25","87","67","4","","","","","","","","1109","2026-08-26 09:56:40","complete","T","F","21","21","3","0","0.79"
"1244","iso16757_umfrage_kurz","interview","2026-08-26 11:28:07","10","8","3","3","5","","6","5","6","6","5","5","6","3","6","6","5","6","6","153","55","40","83","186","171","188","299","538","553","547","552","544","582","542","314","551","578","550","323","205","555","184","292","-9","308","544","413","324","207","307","195","313","326","538","557","550","174","159","554","196","568","-9","562","553","570","2","6","6","4","5","2","6","3","3","4","3","2","2","5","2","2","2","2","2","2","2","2","4","5","2","4","2","6","5","3","6","3","6","5","6","5","2","6","6","4","3","2","2","2","2","3","2","3","","","","","1","","","2","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","6","T","F","F","T","T","F","F","T","T","T","F","F","2","T","F","F","F","F","F","T","F","2","T","F","F","F","T","F","F","F","F","","5","1","2","23","2","22","12","2","251","2","113","2","25","14","12","2","11","18","33","5","2","","","","","","","","559","2026-08-26 11:37:26","complete","T","F","21","21","4","2","2.01"
"1254","iso16757_umfrage_kurz","interview","2026-09-03 15:18:00","10","7","5","2","2","2","6","4","6","4","1","4","4","3","6","6","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","","","","","1","","","1","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","5","T","F","F","T","T","F","F","F","T","T","F","F","1","F","F","F","F","F","F","T","F","2","F","F","F","T","F","T","F","F","F","","23","3","2","70","15","33","28","18","","","","15","50","23","71","3","24","26","35","24","2","","","","","","","","465","2026-09-03 15:25:45","complete","T","F","21","21","10","1","0.85"
"1256","iso16757_umfrage_kurz","interview","2026-09-03 18:27:34","13","8","5","2","5","","4","4","5","2","1","4","4","2","5","5","5","5","6","-9","215","-9","-9","-9","-9","189","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","-9","302","324","414","456","-9","-9","-9","298","-9","-9","-9","-9","-9","-9","-9","-9","5","5","-1","-1","-1","5","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","5","5","5","-1","-1","-1","6","-1","-1","-1","-1","-1","-1","-1","-1","1","1","","","","","1","Da ich als Architekt arbeite, sind die technischen Daten (Anschlusswerte, Betriebstemperaturen etc.) für mich nicht relevant. Ich habe dementsprechend Fokus auf die für die Architekturplanung wichtigen Merkmale (Geometrie, Kosten, genehmigungsrelevante Faktoren) gelegt.","","1","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","","","","","","","","","","","","","","","","","","","3","T","F","F","F","F","F","F","T","T","F","F","F","2","T","F","F","F","F","F","T","F","2","F","F","F","F","T","T","F","F","F","","8","2","3","12","4","24","24","4","123","3","89","13","38","14","17","9","12","20","22","125","2","","","","","","","","459","2026-09-03 18:37:03","complete","T","F","21","21","34","31","1.34"
